,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
30,2.014898999060488e-06,2.2644855689591295e-06,2.2701984089235243e-06,2.0686520767774555e-06,3.0766680804925157e-06,2.2758291966401163e-06,2.3382098560777065e-06,6.4930100700380096e-06,3.997961484779088e-06,2.9986484578441893e-06,1.0839722946486523e-06,1.3910536941736e-06,1.8251547256534587e-06,1.4551937078582679e-05,4.489591871097421e-06,1.6613273085298672e-06
31,2.0001881084000507e-06,2.2046490303932357e-06,2.2472779915621355e-06,2.0822600763406186e-06,3.063135013285951e-06,2.3191617997401617e-06,2.344792237347453e-06,6.537104654189108e-06,4.0447072329594024e-06,3.034560315056741e-06,1.096602673700459e-06,1.3710325457398309e-06,1.7717988676874125e-06,1.3747320958408255e-05,4.410577534481743e-06,1.673619228302103e-06
32,1.988473340968019e-06,2.1436019064286745e-06,2.2207211399723293e-06,2.0978656773959046e-06,3.0362459250557736e-06,2.358107766898288e-06,2.3481599294473757e-06,6.574871627682209e-06,4.084607821464603e-06,3.064700846089412e-06,1.1110722550005509e-06,1.3526312043239764e-06,1.7226760426042277e-06,1.2993226315089311e-05,4.3098899340433615e-06,1.6812976397966308e-06
33,1.9806430981658342e-06,2.0817290824227145e-06,2.1910187103134045e-06,2.1154244183064417e-06,2.996422170232994e-06,2.391280714275435e-06,2.3493895730301778e-06,6.6054261829662365e-06,4.118206271619486e-06,3.089225972015656e-06,1.1271815058427285e-06,1.3355525901884967e-06,1.6783094341395046e-06,1.2294590019387593e-05,4.190568159960092e-06,1.6841289678236428e-06
34,1.977492862521595e-06,2.019498050197966e-06,2.158448829780284e-06,2.1348423066128256e-06,2.9449199034133066e-06,2.418019167105518e-06,2.349614680495659e-06,6.6290946411600885e-06,4.145656107691381e-06,3.1083932810227194e-06,1.1446033705837422e-06,1.3195004483088538e-06,1.6390535951810747e-06,1.1654076098289868e-05,4.056602924050485e-06,1.6824046942296398e-06
35,1.979723864284427e-06,1.957635376018672e-06,2.123164298384958e-06,2.156142128210424e-06,2.8834695293490376e-06,2.4383940179616255e-06,2.3497981312557536e-06,6.647404772634719e-06,4.166502055328682e-06,3.1222917728617975e-06,1.162869529007042e-06,1.3043535104065657e-06,1.605079778311269e-06,1.1071657272599814e-05,3.912469719803961e-06,1.6769302944200246e-06
36,1.987939546206769e-06,1.8970988161320465e-06,2.085419266743595e-06,2.1794466746975646e-06,2.8138842895773135e-06,2.4528298219400004e-06,2.350609064636435e-06,6.662529205366574e-06,4.179797648582113e-06,3.1308236311274827e-06,1.1814724727549633e-06,1.2902506564345973e-06,1.5763786927080366e-06,1.054504596842932e-05,3.762514129321197e-06,1.6689051013779597e-06
37,2.0025250909063935e-06,1.8388461545105707e-06,2.0457188941260515e-06,2.2048466284964246e-06,2.7377535078766197e-06,2.4618149458947503e-06,2.3523056563764232e-06,6.676661047934978e-06,4.18463346240781e-06,3.13388908659925e-06,1.1999760508983677e-06,1.2776006525998123e-06,1.5527951757101596e-06,1.0070912505375538e-05,3.610500914783859e-06,1.65969270558921e-06
38,2.0235086926225476e-06,1.783664928960889e-06,2.0047474327599137e-06,2.23242490927399e-06,2.6563857060135446e-06,2.4659529117953882e-06,2.354696156447997e-06,6.691715884453067e-06,4.18078528049907e-06,3.1315192771384466e-06,1.2179965298489545e-06,1.2670772701242968e-06,1.5341362361770117e-06,9.64660358507299e-06,3.4594210489174154e-06,1.6505868506620046e-06
39,2.050530021539411e-06,1.7321461547879067e-06,1.963143117488532e-06,2.262437312465305e-06,2.570995462066193e-06,2.466034282560478e-06,2.3572269143221665e-06,6.709349622988631e-06,4.168935248259657e-06,3.123796298907081e-06,1.2350803666252236e-06,1.2595682723381217e-06,1.5202936762546008e-06,9.2712160350827e-06,3.311483849073736e-06,1.6426837791193597e-06
40,2.0828846794889417e-06,1.6846830986142196e-06,1.9213576358523287e-06,2.2953935322313915e-06,2.4829619146041605e-06,2.462856592043208e-06,2.359163478299103e-06,6.7310548143288915e-06,4.1502792796126e-06,3.110659491615323e-06,1.2506257222863285e-06,1.2560390312437174e-06,1.511224805871017e-06,8.9451899300044e-06,3.168209470193273e-06,1.6368286202935236e-06
41,2.1195619999356787e-06,1.6415129290564368e-06,1.8797142214257183e-06,2.331927954638637e-06,2.3939838633010875e-06,2.4569723090840818e-06,2.359825136373725e-06,6.758184273925457e-06,4.126102438653265e-06,3.0918831667741548e-06,1.2639616803264628e-06,1.2573679844419457e-06,1.5068224773822764e-06,8.669397266140222e-06,3.030608362517815e-06,1.6335767100043367e-06
42,2.1593295691046177e-06,1.602887837255649e-06,1.8385269479449083e-06,2.372579999042083e-06,2.306008519658583e-06,2.448580246856186e-06,2.358829049678276e-06,6.791931100016121e-06,4.09783675093737e-06,3.067249845034868e-06,1.2745639451578908e-06,1.2642460644253737e-06,1.5068664861713765e-06,8.445145342913074e-06,2.8994569925776246e-06,1.6331899906204432e-06
43,2.2009175265734597e-06,1.569225572238537e-06,1.7981410168348913e-06,2.417618612606517e-06,2.2209638629904238e-06,2.43756026935464e-06,2.356236835636685e-06,6.833325375262829e-06,4.067230113979071e-06,3.036600280614271e-06,1.2822478409016144e-06,1.2771623143695932e-06,1.5110674665923034e-06,8.274778424943323e-06,2.775565027590194e-06,1.6356745069360217e-06
44,2.2431426687747967e-06,1.5410461743592675e-06,1.7589215936481474e-06,2.4669625175028036e-06,2.1405095664261595e-06,2.4237004928749675e-06,2.3524584388827038e-06,6.883210982319739e-06,4.036188719248812e-06,2.9997184227485213e-06,1.2871733369357346e-06,1.2964174710039977e-06,1.5190781181323271e-06,8.161817786488615e-06,2.6598444565798646e-06,1.6408085523304063e-06
